Month - YY,Organization,Intakes/Outcomes,Type,Dog,Cat,Other,Total
Jan-17,CACC,Intakes,Confiscate,46,4,0,50
Jan-17,CACC,Intakes,Disposal Request,35,16,1,52
Jan-17,CACC,Intakes,Euthanasia Request,48,8,0,56
Jan-17,CACC,Intakes,Owner Surrender,228,89,9,326
Jan-17,CACC,Intakes,Returns,1,1,0,2
Jan-17,CACC,Intakes,Stray,279,155,7,441
Jan-17,CACC,Intakes,Wildlife,0,0,46,46
Jan-17,CACC,Outcomes,Adoption,51,50,0,101
Jan-17,CACC,Outcomes,Dead on Arrival,6,3,0,9
Jan-17,CACC,Outcomes,Died in Care,60,22,21,103
Jan-17,CACC,Outcomes,Euthanasia by Request,50,7,0,57
Jan-17,CACC,Outcomes,Returned to Owner,92,3,0,95
Jan-17,CACC,Outcomes,Transfer,325,225,31,581
Feb-17,CACC,Intakes,Confiscate,41,6,2,49
Feb-17,CACC,Intakes,Disposal Request,25,16,2,43
Feb-17,CACC,Intakes,Euthanasia Request,44,7,0,51
Feb-17,CACC,Intakes,Owner Surrender,227,122,20,369
Feb-17,CACC,Intakes,Returns,2,1,0,3
Feb-17,CACC,Intakes,Stray,243,157,3,403
Feb-17,CACC,Intakes,Wildlife,0,0,62,62
Feb-17,CACC,Outcomes,Adoption,49,33,0,82
Feb-17,CACC,Outcomes,Dead on Arrival,34,15,14,63
Feb-17,CACC,Outcomes,Died in Care,5,2,1,8
Feb-17,CACC,Outcomes,Euthanasia by Request,40,6,0,46
Feb-17,CACC,Outcomes,Other Euthanasia,52,16,34,102
Feb-17,CACC,Outcomes,Returned to Owner,85,8,0,93
Feb-17,CACC,Outcomes,Transfer,303,220,42,565
Mar-17,CACC,Intakes,Confiscate,41,16,0,57
Mar-17,CACC,Intakes,Disposal Request,36,15,8,59
Mar-17,CACC,Intakes,Euthanasia Request,38,8,0,46
Mar-17,CACC,Intakes,Owner Surrender,201,127,10,338
Mar-17,CACC,Intakes,Returns,5,1,0,6
Mar-17,CACC,Intakes,Stray,271,267,7,545
Mar-17,CACC,Intakes,Wildlife,0,0,85,85
Mar-17,CACC,Outcomes,Adoption,41,35,0,76
Mar-17,CACC,Outcomes,Dead on Arrival,46,19,17,82
Mar-17,CACC,Outcomes,Died in Care,1,3,10,14
Mar-17,CACC,Outcomes,Euthanasia by Request,36,7,0,43
Mar-17,CACC,Outcomes,Other Euthanasia,92,14,41,147
Mar-17,CACC,Outcomes,Returned to Owner,113,3,0,116
Mar-17,CACC,Outcomes,Transfer,266,351,39,656
Apr-17,CACC,Intakes,Confiscate,63,13,11,87
Apr-17,CACC,Intakes,Disposal Request,30,13,4,47
Apr-17,CACC,Intakes,Euthanasia Request,45,17,0,62
Apr-17,CACC,Intakes,Owner Surrender,203,166,3,372
Apr-17,CACC,Intakes,Returns,8,2,0,10
Apr-17,CACC,Intakes,Stray,255,322,8,585
Apr-17,CACC,Intakes,Wildlife,0,0,178,178
Apr-17,CACC,Outcomes,Adoption,50,52,0,102
Apr-17,CACC,Outcomes,Dead on Arrival,35,19,25,79
Apr-17,CACC,Outcomes,Died in Care,1,4,16,21
Apr-17,CACC,Outcomes,Euthanasia by Request,43,16,0,59
Apr-17,CACC,Outcomes,Other Euthanasia,82,18,44,144
Apr-17,CACC,Outcomes,Returned to Owner,96,12,1,109
Apr-17,CACC,Outcomes,Transfer,304,386,121,811
May-17,CACC,Intakes,Confiscate,77,15,2,94
May-17,CACC,Intakes,Disposal Request,54,38,11,103
May-17,CACC,Intakes,Euthanasia Request,44,13,0,57
May-17,CACC,Intakes,Owner Surrender,156,185,7,348
May-17,CACC,Intakes,Returns,6,0,0,6
May-17,CACC,Intakes,Stray,272,346,19,637
May-17,CACC,Intakes,Wildlife,0,0,221,221
May-17,CACC,Outcomes,Adoption,42,31,0,73
May-17,CACC,Outcomes,Dead on Arrival,55,42,32,129
May-17,CACC,Outcomes,Died in Care,3,5,18,26
May-17,CACC,Outcomes,Euthanasia by Request,43,14,0,57
May-17,CACC,Outcomes,Other Euthanasia,54,49,59,162
May-17,CACC,Outcomes,Returned to Owner,114,7,2,123
May-17,CACC,Outcomes,Transfer,244,396,148,788
Jun-17,CACC,Intakes,Confiscate,41,8,0,49
Jun-17,CACC,Intakes,Disposal Request,32,24,11,67
Jun-17,CACC,Intakes,Euthanasia Request,56,14,0,70
Jun-17,CACC,Intakes,Owner Surrender,176,179,19,374
Jun-17,CACC,Intakes,Returns,5,0,0,5
Jun-17,CACC,Intakes,Stray,255,396,11,662
Jun-17,CACC,Intakes,Wildlife,0,0,159,159
Jun-17,CACC,Outcomes,Adoption,53,63,0,116
Jun-17,CACC,Outcomes,Dead on Arrival,37,30,37,104
Jun-17,CACC,Outcomes,Died in Care,4,11,4,19
Jun-17,CACC,Outcomes,Euthanasia by Request,51,12,0,63
Jun-17,CACC,Outcomes,Other Euthanasia,55,53,61,169
Jun-17,CACC,Outcomes,Returned to Owner,115,13,3,131
Jun-17,CACC,Outcomes,Transfer,228,378,88,694
Jul-17,CACC,Intakes,Confiscate,76,6,0,82
Jul-17,CACC,Intakes,Disposal Request,53,10,19,82
Jul-17,CACC,Intakes,Euthanasia Request,65,9,0,74
Jul-17,CACC,Intakes,Owner Surrender,201,141,7,349
Jul-17,CACC,Intakes,Returns,3,2,0,5
Jul-17,CACC,Intakes,Stray,325,385,19,729
Jul-17,CACC,Intakes,Wildlife,0,0,118,118
Jul-17,CACC,Outcomes,Adoption,58,44,0,102
Jul-17,CACC,Outcomes,Dead on Arrival,59,27,36,122
Jul-17,CACC,Outcomes,Died in Care,3,6,11,20
Jul-17,CACC,Outcomes,Euthanasia by Request,63,9,0,72
Jul-17,CACC,Outcomes,Other Euthanasia,88,50,29,167
Jul-17,CACC,Outcomes,Returned to Owner,138,16,1,155
Jul-17,CACC,Outcomes,Transfer,305,414,88,807
Aug-17,CACC,Intakes,Confiscate,61,12,2,75
Aug-17,CACC,Intakes,Disposal Request,56,19,11,86
Aug-17,CACC,Intakes,Euthanasia Request,85,9,0,94
Aug-17,CACC,Intakes,Owner Surrender,186,171,7,364
Aug-17,CACC,Intakes,Returns,6,1,0,7
Aug-17,CACC,Intakes,Stray,247,489,13,749
Aug-17,CACC,Intakes,Wildlife,0,0,141,141
Aug-17,CACC,Outcomes,Adoption,88,95,0,183
Aug-17,CACC,Outcomes,Dead on Arrival,64,24,34,122
Aug-17,CACC,Outcomes,Died in Care,6,12,12,30
Aug-17,CACC,Outcomes,Euthanasia by Request,67,9,0,76
Aug-17,CACC,Outcomes,Other Euthanasia,54,98,57,209
Aug-17,CACC,Outcomes,Returned to Owner,132,11,0,143
Aug-17,CACC,Outcomes,Transfer,264,476,67,807
Sep-17,CACC,Intakes,Confiscate,41,8,1,50
Sep-17,CACC,Intakes,Disposal Request,49,35,8,92
Sep-17,CACC,Intakes,Euthanasia Request,65,12,2,79
Sep-17,CACC,Intakes,Owner Surrender,154,171,11,336
Sep-17,CACC,Intakes,Returns,6,0,0,6
Sep-17,CACC,Intakes,Stray,250,320,9,579
Sep-17,CACC,Intakes,Wildlife,0,0,160,160
Sep-17,CACC,Outcomes,Adoption,73,81,0,154
Sep-17,CACC,Outcomes,Dead on Arrival,48,37,30,115
Sep-17,CACC,Outcomes,Died in Care,3,17,5,25
Sep-17,CACC,Outcomes,Euthanasia by Request,59,11,2,72
Sep-17,CACC,Outcomes,NA,0,1,0,1
Sep-17,CACC,Outcomes,Other Euthanasia,34,69,76,179
Sep-17,CACC,Outcomes,Returned to Owner,96,9,1,106
Sep-17,CACC,Outcomes,Transfer,244,299,79,622
Oct-17,CACC,Intakes,Confiscate,65,10,1,76
Oct-17,CACC,Intakes,Disposal Request,41,24,8,73
Oct-17,CACC,Intakes,Euthanasia Request,54,24,1,79
Oct-17,CACC,Intakes,Owner Surrender,183,167,15,365
Oct-17,CACC,Intakes,Returns,6,4,0,10
Oct-17,CACC,Intakes,Stray,256,247,7,510
Oct-17,CACC,Intakes,Wildlife,0,0,113,113
Oct-17,CACC,Outcomes,Adoption,71,182,0,253
Oct-17,CACC,Outcomes,Dead on Arrival,46,30,25,101
Oct-17,CACC,Outcomes,Died in Care,1,9,4,14
Oct-17,CACC,Outcomes,Euthanasia by Request,43,22,1,66
Oct-17,CACC,Outcomes,Missing,0,1,0,1
Oct-17,CACC,Outcomes,Other Euthanasia,38,46,72,156
Oct-17,CACC,Outcomes,Returned to Owner,107,2,0,109
Oct-17,CACC,Outcomes,Transfer,272,243,46,561
Nov-17,CACC,Intakes,Confiscate,36,5,5,46
Nov-17,CACC,Intakes,Disposal Request,30,19,4,53
Nov-17,CACC,Intakes,Euthanasia Request,69,11,0,80
Nov-17,CACC,Intakes,Owner Surrender,151,148,21,320
Nov-17,CACC,Intakes,Returns,6,5,0,11
Nov-17,CACC,Intakes,Stray,262,286,25,573
Nov-17,CACC,Intakes,Wildlife,0,0,69,69
Nov-17,CACC,Outcomes,Adoption,78,86,0,164
Nov-17,CACC,Outcomes,Dead on Arrival,29,22,18,69
Nov-17,CACC,Outcomes,Died in Care,0,2,3,5
Nov-17,CACC,Outcomes,Euthanasia by Request,62,10,0,72
Nov-17,CACC,Outcomes,Other Euthanasia,41,26,51,118
Nov-17,CACC,Outcomes,Relocate,0,0,1,1
Nov-17,CACC,Outcomes,Returned to Owner,105,17,0,122
Nov-17,CACC,Outcomes,Transfer,249,200,50,499
Dec-17,CACC,Intakes,Confiscate,55,15,0,70
Dec-17,CACC,Intakes,Disposal Request,43,11,1,55
Dec-17,CACC,Intakes,Euthanasia Request,56,15,0,71
Dec-17,CACC,Intakes,Owner Surrender,170,149,7,326
Dec-17,CACC,Intakes,Returns,6,3,0,9
Dec-17,CACC,Intakes,Stray,219,187,9,415
Dec-17,CACC,Intakes,Wildlife,0,0,43,43
Dec-17,CACC,Outcomes,Adoption,66,80,0,146
Dec-17,CACC,Outcomes,Dead on Arrival,50,14,6,70
Dec-17,CACC,Outcomes,Died in Care,1,1,1,3
Dec-17,CACC,Outcomes,Euthanasia by Request,49,14,0,63
Dec-17,CACC,Outcomes,Other Euthanasia,39,21,21,81
Dec-17,CACC,Outcomes,Returned to Owner,83,10,1,94
Dec-17,CACC,Outcomes,Transfer,247,363,30,640
Jan-18,CACC,Intakes,Confiscate,58,10,0,68
Jan-18,CACC,Intakes,Disposal Request,38,19,1,58
Jan-18,CACC,Intakes,Euthanasia Request,88,12,0,100
Jan-18,CACC,Intakes,Owner Surrender,181,145,12,338
Jan-18,CACC,Intakes,Returns,7,3,0,10
Jan-18,CACC,Intakes,Stray,243,146,6,395
Jan-18,CACC,Intakes,Wildlife,0,0,53,53
Jan-18,CACC,Outcomes,Adoption,122,55,0,177
Jan-18,CACC,Outcomes,Dead on Arrival,47,18,11,76
Jan-18,CACC,Outcomes,Died in Care,0,2,2,4
Jan-18,CACC,Outcomes,Euthanasia by Request,80,12,0,92
Jan-18,CACC,Outcomes,Missing,1,0,0,1
Jan-18,CACC,Outcomes,Other Euthanasia,34,17,28,79
Jan-18,CACC,Outcomes,Returned to Owner,85,3,0,88
Jan-18,CACC,Outcomes,Transfer,303,279,33,615
Feb-18,CACC,Intakes,Stray,247,154,7,408
